codigo_origen,version_origen,codigo_destino,version_destino,nivel
2011,CNAE-2009,2011,CNAE-2025,4
2011,CNAE-2009,2014,CNAE-2025,4
2012,CNAE-2009,2012,CNAE-2025,4
2013,CNAE-2009,2013,CNAE-2025,4
2014,CNAE-2009,2014,CNAE-2025,4
2014,CNAE-2009,2051,CNAE-2025,4
2015,CNAE-2009,2015,CNAE-2025,4
2016,CNAE-2009,2016,CNAE-2025,4
2017,CNAE-2009,2017,CNAE-2025,4
202,CNAE-2009,202,CNAE-2025,3
2020,CNAE-2009,2020,CNAE-2025,4
203,CNAE-2009,203,CNAE-2025,3
2030,CNAE-2009,2030,CNAE-2025,4
204,CNAE-2009,204,CNAE-2025,3
2041,CNAE-2009,2041,CNAE-2025,4
2042,CNAE-2009,2042,CNAE-2025,4
205,CNAE-2009,205,CNAE-2025,3
2051,CNAE-2009,2059,CNAE-2025,4
2052,CNAE-2009,2059,CNAE-2025,4
2053,CNAE-2009,2059,CNAE-2025,4
2059,CNAE-2009,2051,CNAE-2025,4
2059,CNAE-2009,2059,CNAE-2025,4
206,CNAE-2009,206,CNAE-2025,3
2060,CNAE-2009,2060,CNAE-2025,4
21,CNAE-2009,21,CNAE-2025,2
211,CNAE-2009,211,CNAE-2025,3
2110,CNAE-2009,2110,CNAE-2025,4
212,CNAE-2009,212,CNAE-2025,3
2120,CNAE-2009,2120,CNAE-2025,4
22,CNAE-2009,15,CNAE-2025,2
22,CNAE-2009,22,CNAE-2025,2
22,CNAE-2009,23,CNAE-2025,2
221,CNAE-2009,152,CNAE-2025,3
221,CNAE-2009,221,CNAE-2025,3
2211,CNAE-2009,2211,CNAE-2025,4
2219,CNAE-2009,1520,CNAE-2025,4
2219,CNAE-2009,2212,CNAE-2025,4
222,CNAE-2009,152,CNAE-2025,3
222,CNAE-2009,222,CNAE-2025,3
222,CNAE-2009,236,CNAE-2025,3
2221,CNAE-2009,2221,CNAE-2025,4
2221,CNAE-2009,2225,CNAE-2025,4
2222,CNAE-2009,2222,CNAE-2025,4
2222,CNAE-2009,2225,CNAE-2025,4
2223,CNAE-2009,2223,CNAE-2025,4
2223,CNAE-2009,2224,CNAE-2025,4
2223,CNAE-2009,2225,CNAE-2025,4
2223,CNAE-2009,2366,CNAE-2025,4
2229,CNAE-2009,1520,CNAE-2025,4
2229,CNAE-2009,2221,CNAE-2025,4
2229,CNAE-2009,2225,CNAE-2025,4
2229,CNAE-2009,2226,CNAE-2025,4
23,CNAE-2009,23,CNAE-2025,2
23,CNAE-2009,29,CNAE-2025,2
23,CNAE-2009,31,CNAE-2025,2
231,CNAE-2009,231,CNAE-2025,3
231,CNAE-2009,293,CNAE-2025,3
2311,CNAE-2009,2311,CNAE-2025,4
2312,CNAE-2009,2312,CNAE-2025,4
2312,CNAE-2009,2932,CNAE-2025,4
2313,CNAE-2009,2313,CNAE-2025,4
2314,CNAE-2009,2314,CNAE-2025,4
2319,CNAE-2009,2315,CNAE-2025,4
232,CNAE-2009,232,CNAE-2025,3
2320,CNAE-2009,2320,CNAE-2025,4
233,CNAE-2009,233,CNAE-2025,3
2331,CNAE-2009,2331,CNAE-2025,4
2332,CNAE-2009,2332,CNAE-2025,4
234,CNAE-2009,234,CNAE-2025,3
234,CNAE-2009,310,CNAE-2025,3
2341,CNAE-2009,2341,CNAE-2025,4
2342,CNAE-2009,2342,CNAE-2025,4
2342,CNAE-2009,3100,CNAE-2025,4
2343,CNAE-2009,2343,CNAE-2025,4
2344,CNAE-2009,2344,CNAE-2025,4
2349,CNAE-2009,2345,CNAE-2025,4
235,CNAE-2009,235,CNAE-2025,3
2351,CNAE-2009,2351,CNAE-2025,4
2352,CNAE-2009,2352,CNAE-2025,4
236,CNAE-2009,236,CNAE-2025,3
2361,CNAE-2009,2367,CNAE-2025,4
2361,CNAE-2009,2368,CNAE-2025,4
2362,CNAE-2009,2362,CNAE-2025,4
2363,CNAE-2009,2363,CNAE-2025,4
2364,CNAE-2009,2364,CNAE-2025,4
2365,CNAE-2009,2365,CNAE-2025,4
2369,CNAE-2009,2366,CNAE-2025,4
237,CNAE-2009,237,CNAE-2025,3
2370,CNAE-2009,2370,CNAE-2025,4
239,CNAE-2009,239,CNAE-2025,3
2391,CNAE-2009,2391,CNAE-2025,4
2399,CNAE-2009,2399,CNAE-2025,4
24,CNAE-2009,24,CNAE-2025,2
241,CNAE-2009,241,CNAE-2025,3
2410,CNAE-2009,2410,CNAE-2025,4
242,CNAE-2009,242,CNAE-2025,3
2420,CNAE-2009,2420,CNAE-2025,4
243,CNAE-2009,243,CNAE-2025,3
2431,CNAE-2009,2431,CNAE-2025,4
2432,CNAE-2009,2432,CNAE-2025,4
2433,CNAE-2009,2433,CNAE-2025,4
2434,CNAE-2009,2434,CNAE-2025,4
244,CNAE-2009,244,CNAE-2025,3
2441,CNAE-2009,2441,CNAE-2025,4
2442,CNAE-2009,2442,CNAE-2025,4
2443,CNAE-2009,2443,CNAE-2025,4
2444,CNAE-2009,2444,CNAE-2025,4
2445,CNAE-2009,2445,CNAE-2025,4
2446,CNAE-2009,2446,CNAE-2025,4
245,CNAE-2009,245,CNAE-2025,3
2451,CNAE-2009,2451,CNAE-2025,4
2452,CNAE-2009,2452,CNAE-2025,4
2453,CNAE-2009,2453,CNAE-2025,4
2453,CNAE-2009,2454,CNAE-2025,4
2454,CNAE-2009,2454,CNAE-2025,4
25,CNAE-2009,25,CNAE-2025,2
25,CNAE-2009,28,CNAE-2025,2
251,CNAE-2009,251,CNAE-2025,3
2511,CNAE-2009,2513,CNAE-2025,4
2511,CNAE-2009,2514,CNAE-2025,4
2512,CNAE-2009,2512,CNAE-2025,4
252,CNAE-2009,252,CNAE-2025,3
252,CNAE-2009,282,CNAE-2025,3
2521,CNAE-2009,2521,CNAE-2025,4
2521,CNAE-2009,2821,CNAE-2025,4
2529,CNAE-2009,2522,CNAE-2025,4
253,CNAE-2009,252,CNAE-2025,3
2530,CNAE-2009,2521,CNAE-2025,4
254,CNAE-2009,253,CNAE-2025,3
2540,CNAE-2009,2530,CNAE-2025,4
255,CNAE-2009,254,CNAE-2025,3
2550,CNAE-2009,2540,CNAE-2025,4
256,CNAE-2009,255,CNAE-2025,3
2561,CNAE-2009,2551,CNAE-2025,4
2561,CNAE-2009,2552,CNAE-2025,4
2561,CNAE-2009,2553,CNAE-2025,4
2562,CNAE-2009,2553,CNAE-2025,4
257,CNAE-2009,256,CNAE-2025,3
2571,CNAE-2009,2561,CNAE-2025,4
2572,CNAE-2009,2562,CNAE-2025,4
2573,CNAE-2009,2563,CNAE-2025,4
259,CNAE-2009,259,CNAE-2025,3
2591,CNAE-2009,2591,CNAE-2025,4
2592,CNAE-2009,2592,CNAE-2025,4
2593,CNAE-2009,2593,CNAE-2025,4
2594,CNAE-2009,2594,CNAE-2025,4
2599,CNAE-2009,2599,CNAE-2025,4
26,CNAE-2009,26,CNAE-2025,2
261,CNAE-2009,261,CNAE-2025,3
2611,CNAE-2009,2611,CNAE-2025,4
2612,CNAE-2009,2612,CNAE-2025,4
262,CNAE-2009,262,CNAE-2025,3
262,CNAE-2009,264,CNAE-2025,3
2620,CNAE-2009,2620,CNAE-2025,4
2620,CNAE-2009,2640,CNAE-2025,4
263,CNAE-2009,263,CNAE-2025,3
263,CNAE-2009,265,CNAE-2025,3
2630,CNAE-2009,2630,CNAE-2025,4
2630,CNAE-2009,2651,CNAE-2025,4
264,CNAE-2009,264,CNAE-2025,3
2640,CNAE-2009,2640,CNAE-2025,4
265,CNAE-2009,265,CNAE-2025,3
2651,CNAE-2009,2651,CNAE-2025,4
2652,CNAE-2009,2652,CNAE-2025,4
266,CNAE-2009,266,CNAE-2025,3
2660,CNAE-2009,2660,CNAE-2025,4
267,CNAE-2009,267,CNAE-2025,3
2670,CNAE-2009,2670,CNAE-2025,4
268,CNAE-2009,267,CNAE-2025,3
2680,CNAE-2009,2670,CNAE-2025,4
27,CNAE-2009,27,CNAE-2025,2
27,CNAE-2009,29,CNAE-2025,2
27,CNAE-2009,32,CNAE-2025,2
271,CNAE-2009,271,CNAE-2025,3
271,CNAE-2009,291,CNAE-2025,3
2711,CNAE-2009,2711,CNAE-2025,4
2711,CNAE-2009,2910,CNAE-2025,4
2712,CNAE-2009,2711,CNAE-2025,4
2712,CNAE-2009,2712,CNAE-2025,4
272,CNAE-2009,272,CNAE-2025,3
2720,CNAE-2009,2720,CNAE-2025,4
273,CNAE-2009,273,CNAE-2025,3
2731,CNAE-2009,2731,CNAE-2025,4
2732,CNAE-2009,2732,CNAE-2025,4
2733,CNAE-2009,2733,CNAE-2025,4
274,CNAE-2009,274,CNAE-2025,3
2740,CNAE-2009,2740,CNAE-2025,4
275,CNAE-2009,275,CNAE-2025,3
2751,CNAE-2009,2751,CNAE-2025,4
2752,CNAE-2009,2752,CNAE-2025,4
279,CNAE-2009,271,CNAE-2025,3
279,CNAE-2009,279,CNAE-2025,3
279,CNAE-2009,293,CNAE-2025,3
279,CNAE-2009,329,CNAE-2025,3
2790,CNAE-2009,2711,CNAE-2025,4
2790,CNAE-2009,2790,CNAE-2025,4
2790,CNAE-2009,2931,CNAE-2025,4
2790,CNAE-2009,3299,CNAE-2025,4
28,CNAE-2009,26,CNAE-2025,2
28,CNAE-2009,27,CNAE-2025,2
28,CNAE-2009,28,CNAE-2025,2
28,CNAE-2009,29,CNAE-2025,2
28,CNAE-2009,30,CNAE-2025,2
281,CNAE-2009,281,CNAE-2025,3
281,CNAE-2009,293,CNAE-2025,3
281,CNAE-2009,309,CNAE-2025,3
2811,CNAE-2009,2811,CNAE-2025,4
2811,CNAE-2009,2932,CNAE-2025,4
2811,CNAE-2009,3091,CNAE-2025,4
2812,CNAE-2009,2812,CNAE-2025,4
2813,CNAE-2009,2813,CNAE-2025,4
2814,CNAE-2009,2814,CNAE-2025,4
2815,CNAE-2009,2815,CNAE-2025,4
282,CNAE-2009,262,CNAE-2025,3
282,CNAE-2009,282,CNAE-2025,3
282,CNAE-2009,289,CNAE-2025,3
282,CNAE-2009,293,CNAE-2025,3
2821,CNAE-2009,2821,CNAE-2025,4
2821,CNAE-2009,2825,CNAE-2025,4
2822,CNAE-2009,2822,CNAE-2025,4
2823,CNAE-2009,2620,CNAE-2025,4
2823,CNAE-2009,2823,CNAE-2025,4
