codigo,version,descripcion,nivel,codigo_padre
283,CNAE-2009,Fabricación de maquinaria agraria y forestal,3,28
284,CNAE-2009,Fabricación de máquinas herramienta para trabajar el metal y otras máquinas herramienta,3,28
289,CNAE-2009,Fabricación de otra maquinaria para usos específicos,3,28
291,CNAE-2009,Fabricación de vehículos de motor,3,29
292,CNAE-2009,Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques,3,29
293,CNAE-2009,"Fabricación de componentes, piezas y accesorios para vehículos de motor",3,29
301,CNAE-2009,Construcción naval,3,30
302,CNAE-2009,Fabricación de locomotoras y material ferroviario,3,30
303,CNAE-2009,Construcción aeronáutica y espacial y su maquinaria,3,30
304,CNAE-2009,Fabricación de vehículos militares de combate,3,30
309,CNAE-2009,Fabricación de otro material de transporte n.c.o.p.,3,30
310,CNAE-2009,Fabricación de muebles,3,31
321,CNAE-2009,"Fabricación de artículos de joyería, bisutería y similares",3,32
322,CNAE-2009,Fabricación de instrumentos musicales,3,32
323,CNAE-2009,Fabricación de artículos de deporte,3,32
324,CNAE-2009,Fabricación de juegos y juguetes,3,32
325,CNAE-2009,Fabricación de instrumentos y suministros médicos y odontológicos,3,32
329,CNAE-2009,Industrias manufactureras n.c.o.p.,3,32
331,CNAE-2009,"Reparación de productos metálicos, maquinaria y equipo",3,33
332,CNAE-2009,Instalación de máquinas y equipos industriales,3,33
351,CNAE-2009,"Producción, transporte y distribución de energía eléctrica",3,35
352,CNAE-2009,Producción de gas; distribución por tubería de combustibles gaseosos,3,35
353,CNAE-2009,Suministro de vapor y aire acondicionado,3,35
360,CNAE-2009,"Captación, depuración y distribución de agua",3,36
370,CNAE-2009,Recogida y tratamiento de aguas residuales,3,37
381,CNAE-2009,Recogida de residuos,3,38
382,CNAE-2009,Tratamiento y eliminación de residuos,3,38
383,CNAE-2009,Valorización,3,38
390,CNAE-2009,Actividades de descontaminación y otros servicios de gestión de residuos,3,39
411,CNAE-2009,Promoción inmobiliaria,3,41
412,CNAE-2009,Construcción de edificios,3,41
421,CNAE-2009,"Construcción de carreteras y vías férreas, puentes y túneles",3,42
422,CNAE-2009,Construcción de redes,3,42
429,CNAE-2009,Construcción de otros proyectos de ingeniería civil,3,42
431,CNAE-2009,Demolición y preparación de terrenos,3,43
432,CNAE-2009,"Instalaciones eléctricas, de fontanería y otras instalaciones en obras de construcción",3,43
433,CNAE-2009,Acabado de edificios,3,43
439,CNAE-2009,Otras actividades de construcción especializada,3,43
451,CNAE-2009,Venta de vehículos de motor,3,45
452,CNAE-2009,Mantenimiento y reparación de vehículos de motor,3,45
453,CNAE-2009,Comercio de repuestos y accesorios de vehículos de motor,3,45
454,CNAE-2009,"Venta, mantenimiento y reparación de motocicletas y de sus repuestos y accesorios",3,45
461,CNAE-2009,Intermediarios del comercio,3,46
462,CNAE-2009,Comercio al por mayor de materias primas agrarias y de animales vivos,3,46
463,CNAE-2009,"Comercio al por mayor de productos alimenticios, bebidas y tabaco",3,46
464,CNAE-2009,Comercio al por mayor de artículos de uso doméstico,3,46
465,CNAE-2009,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,3,46
466,CNAE-2009,"Comercio al por mayor de otra maquinaria, equipos y suministros",3,46
467,CNAE-2009,Otro comercio al por mayor especializado,3,46
469,CNAE-2009,Comercio al por mayor no especializado,3,46
471,CNAE-2009,Comercio al por menor en establecimientos no especializados,3,47
472,CNAE-2009,"Comercio al por menor de productos alimenticios, bebidas y tabaco en establecimientos especializados",3,47
473,CNAE-2009,Comercio al por menor de combustible para la automoción en establecimientos especializados,3,47
474,CNAE-2009,Comercio al por menor de equipos para las tecnologías de la información y las comunicaciones en establecimientos especializados,3,47
475,CNAE-2009,Comercio al por menor de otros artículos de uso doméstico en establecimientos especializados,3,47
476,CNAE-2009,Comercio al por menor de artículos culturales y recreativos en establecimientos especializados,3,47
477,CNAE-2009,Comercio al por menor de otros artículos en establecimientos especializados,3,47
478,CNAE-2009,Comercio al por menor en puestos de venta y en mercadillos,3,47
479,CNAE-2009,"Comercio al por menor no realizado ni en establecimientos, ni en puestos de venta ni en mercadillos",3,47
491,CNAE-2009,Transporte interurbano de pasajeros por ferrocarril,3,49
492,CNAE-2009,Transporte de mercancías por ferrocarril,3,49
493,CNAE-2009,Otro transporte terrestre de pasajeros,3,49
494,CNAE-2009,Transporte de mercancías por carretera y servicios de mudanza,3,49
495,CNAE-2009,Transporte por tubería,3,49
501,CNAE-2009,Transporte marítimo de pasajeros,3,50
502,CNAE-2009,Transporte marítimo de mercancías,3,50
503,CNAE-2009,Transporte de pasajeros por vías navegables interiores,3,50
504,CNAE-2009,Transporte de mercancías por vías navegables interiores,3,50
511,CNAE-2009,Transporte aéreo de pasajeros,3,51
512,CNAE-2009,Transporte aéreo de mercancías y transporte espacial,3,51
521,CNAE-2009,Depósito y almacenamiento,3,52
522,CNAE-2009,Actividades anexas al transporte,3,52
531,CNAE-2009,Actividades postales sometidas a la obligación del servicio universal,3,53
532,CNAE-2009,Otras actividades postales y de correos,3,53
551,CNAE-2009,Hoteles y alojamientos similares,3,55
552,CNAE-2009,Alojamientos turísticos y otros alojamientos de corta estancia,3,55
553,CNAE-2009,Campings y aparcamientos para caravanas,3,55
559,CNAE-2009,Otros alojamientos,3,55
561,CNAE-2009,Restaurantes y puestos de comidas,3,56
562,CNAE-2009,Provisión de comidas preparadas para eventos y otros servicios de comidas,3,56
563,CNAE-2009,Establecimientos de bebidas,3,56
581,CNAE-2009,"Edición de libros, periódicos y otras actividades editoriales",3,58
582,CNAE-2009,Edición de programas informáticos,3,58
591,CNAE-2009,"Actividades cinematográficas, de vídeo y de programas de televisión",3,59
592,CNAE-2009,Actividades de grabación de sonido y edición musical,3,59
601,CNAE-2009,Actividades de radiodifusión,3,60
602,CNAE-2009,Actividades de programación y emisión de televisión,3,60
611,CNAE-2009,Telecomunicaciones por cable,3,61
612,CNAE-2009,Telecomunicaciones inalámbricas,3,61
613,CNAE-2009,Telecomunicaciones por satélite,3,61
619,CNAE-2009,Otras actividades de telecomunicaciones,3,61
620,CNAE-2009,"Programación, consultoría y otras actividades relacionadas con la informática",3,62
631,CNAE-2009,"Proceso de datos, hosting y actividades relacionadas; portales web",3,63
639,CNAE-2009,Otros servicios de información,3,63
641,CNAE-2009,Intermediación monetaria,3,64
642,CNAE-2009,Actividades de las sociedades holding,3,64
643,CNAE-2009,"Inversión colectiva, fondos y entidades financieras similares",3,64
649,CNAE-2009,"Otros servicios financieros, excepto seguros y fondos de pensiones",3,64
651,CNAE-2009,Seguros,3,65
652,CNAE-2009,Reaseguros,3,65
653,CNAE-2009,Fondos de pensiones,3,65
661,CNAE-2009,"Actividades auxiliares a los servicios financieros, excepto seguros y fondos de pensiones",3,66
662,CNAE-2009,Actividades auxiliares a seguros y fondos de pensiones,3,66
663,CNAE-2009,Actividades de gestión de fondos,3,66
681,CNAE-2009,Compraventa de bienes inmobiliarios por cuenta propia,3,68
682,CNAE-2009,Alquiler de bienes inmobiliarios por cuenta propia,3,68
683,CNAE-2009,Actividades inmobiliarias por cuenta de terceros,3,68
691,CNAE-2009,Actividades jurídicas,3,69
692,CNAE-2009,"Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",3,69
701,CNAE-2009,Actividades de las sedes centrales,3,70
702,CNAE-2009,Actividades de consultoría de gestión empresarial,3,70
711,CNAE-2009,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,3,71
712,CNAE-2009,Ensayos y análisis técnicos,3,71
721,CNAE-2009,Investigación y desarrollo experimental en ciencias naturales y técnicas,3,72
722,CNAE-2009,Investigación y desarrollo experimental en ciencias sociales y humanidades,3,72
731,CNAE-2009,Publicidad,3,73
732,CNAE-2009,Estudio de mercado y realización de encuestas de opinión pública,3,73
741,CNAE-2009,Actividades de diseño especializado,3,74
742,CNAE-2009,Actividades de fotografía,3,74
743,CNAE-2009,Actividades de traducción e interpretación,3,74
749,CNAE-2009,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",3,74
750,CNAE-2009,Actividades veterinarias,3,75
771,CNAE-2009,Alquiler de vehículos de motor,3,77
772,CNAE-2009,Alquiler de efectos personales y artículos de uso doméstico,3,77
773,CNAE-2009,"Alquiler de otra maquinaria, equipos y bienes tangibles",3,77
774,CNAE-2009,"Arrendamiento de la propiedad intelectual y productos similares, excepto trabajos protegidos por los derechos de autor",3,77
781,CNAE-2009,Actividades de las agencias de colocación,3,78
782,CNAE-2009,Actividades de las empresas de trabajo temporal,3,78
783,CNAE-2009,Otra provisión de recursos humanos,3,78
791,CNAE-2009,Actividades de agencias de viajes y operadores turísticos,3,79
799,CNAE-2009,Otros servicios de reservas y actividades relacionadas con los mismos,3,79
